A1,A2,voto,valor
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,MENDOZA PALMA JOFFRE PATRICIO,106
ARREGUI RUEDA MARCIA CECILIA,MENDOZA ARÉVALO DANIEL ISAAC,107
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,GALLARDO ARÉVALO KATTY JUDITH,99
CARRIÓN CEVALLOS MARÍA JOSÉ,SUAREZ HUAYAMAVE CARLOS ALBERTO,108
ARIAS RAMÍREZ ALBERTO JESÚS,CASANOVA CEPEDA XAVIER IVAN,116
SALAZAR CEDEÑO GUADALUPE DOLORES,YAR ARAUJO JUAN CARLOS,88
ARIAS RAMÍREZ ALBERTO JESÚS,CALLE VERZOZI HERMUY,100
ARIAS RAMÍREZ ALBERTO JESÚS,CARRIÓN CEVALLOS MARÍA JOSÉ,109
ARREGUI RUEDA MARCIA CECILIA,VERA FLORES WENDY VANESSA,109
ARIAS RAMÍREZ ALBERTO JESÚS,SUAREZ HUAYAMAVE CARLOS ALBERTO,109
ARIAS RAMÍREZ ALBERTO JESÚS,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,112
ARIAS RAMÍREZ ALBERTO JESÚS,GÓMEZ LOZANO RICHARD GARIS,107
CARRIÓN CEVALLOS MARÍA JOSÉ,MUENTES ALVARADO PABLO ANDRES,122
ARIAS RAMÍREZ ALBERTO JESÚS,SALAZAR CEDEÑO GUADALUPE DOLORES,103
ARIAS RAMÍREZ ALBERTO JESÚS,VERA FLORES WENDY VANESSA,109
CARRIÓN CEVALLOS MARÍA JOSÉ,MENDOZA PALMA JOFFRE PATRICIO,109
ARIAS RAMÍREZ ALBERTO JESÚS,YUNDA MACHADO JORGE HOMERO,111
ARIAS RAMÍREZ ALBERTO JESÚS,ZAMBRANO ARTEAGA JOSE RICARDO,115
ARREGUI RUEDA MARCIA CECILIA,REYES HIDALGO CRISTINA EUGENIA,109
ARIAS RAMÍREZ ALBERTO JESÚS,MUENTES ALVARADO PABLO ANDRES,114
ARIAS RAMÍREZ ALBERTO JESÚS,REYES HIDALGO CRISTINA EUGENIA,119
ARIAS RAMÍREZ ALBERTO JESÚS,MENDOZA PALMA JOFFRE PATRICIO,118
ARREGUI RUEDA MARCIA CECILIA,GALLARDO ARÉVALO KATTY JUDITH,110
ARIAS RAMÍREZ ALBERTO JESÚS,GALLARDO ARÉVALO KATTY JUDITH,111
BENAVIDES ZAMBRANO ZOILA TERESA,BONILLA SALCEDO VIVIANA,103
YAR ARAUJO JUAN CARLOS,MENDOZA PALMA JOFFRE PATRICIO,103
CASANOVA CEPEDA XAVIER IVAN,CALLE VERZOZI HERMUY,105
CASANOVA CEPEDA XAVIER IVAN,CARRIÓN CEVALLOS MARÍA JOSÉ,103
BENAVIDES ZAMBRANO ZOILA TERESA,CÁRDENAS ESPINOZA JUAN JORGE,110
CASANOVA CEPEDA XAVIER IVAN,SUAREZ HUAYAMAVE CARLOS ALBERTO,106
CASANOVA CEPEDA XAVIER IVAN,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,98
CASANOVA CEPEDA XAVIER IVAN,GÓMEZ LOZANO RICHARD GARIS,105
BENAVIDES ZAMBRANO ZOILA TERESA,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,102
CASANOVA CEPEDA XAVIER IVAN,SALAZAR CEDEÑO GUADALUPE DOLORES,101
CASANOVA CEPEDA XAVIER IVAN,VERA FLORES WENDY VANESSA,111
SUAREZ HUAYAMAVE CARLOS ALBERTO,GALLARDO ARÉVALO KATTY JUDITH,108
CASANOVA CEPEDA XAVIER IVAN,YUNDA MACHADO JORGE HOMERO,113
CASANOVA CEPEDA XAVIER IVAN,ZAMBRANO ARTEAGA JOSE RICARDO,101
ZAMBRANO ARTEAGA JOSE RICARDO,PALACIOS MUÑOZ JUAN SEBASTIÁN,104
CASANOVA CEPEDA XAVIER IVAN,MUENTES ALVARADO PABLO ANDRES,115
CASANOVA CEPEDA XAVIER IVAN,REYES HIDALGO CRISTINA EUGENIA,112
CASANOVA CEPEDA XAVIER IVAN,MENDOZA PALMA JOFFRE PATRICIO,107
AZUERO RODAS ELISEO ALEXIS,PALACIOS MUÑOZ JUAN SEBASTIÁN,103
CASANOVA CEPEDA XAVIER IVAN,GALLARDO ARÉVALO KATTY JUDITH,100
BENAVIDES ZAMBRANO ZOILA TERESA,YUNDA MACHADO JORGE HOMERO,103
BENAVIDES ZAMBRANO ZOILA TERESA,ZAMBRANO ARTEAGA JOSE RICARDO,106
BENAVIDES ZAMBRANO ZOILA TERESA,ZAMBRANO CASTRO NORALMA ELIZABETH,113
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,107
BENAVIDES ZAMBRANO ZOILA TERESA,CRUZ PROAÑO LUDOVICO ISRAEL,116
AGUIÑAGA VALLEJO PAOLA MARCELA,JUCA SALAZAR MERCEDES DEL ROCÍO,113
BENAVIDES ZAMBRANO ZOILA TERESA,ZAMBRANO VALLE EDUARDO MAURICIO,108
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,RIVADENEIRA BUSTOS CARMEN MERCEDES,106
AGUIÑAGA VALLEJO PAOLA MARCELA,ARTEAGA MUÑOZ KARINA CECILIA,108
BENAVIDES ZAMBRANO ZOILA TERESA,CANDELL SOTO JAIME ENRIQUE JIMMY,97
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,YAR ARAUJO JUAN CARLOS,106
AGUIÑAGA VALLEJO PAOLA MARCELA,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,104
MENDOZA ARÉVALO DANIEL ISAAC,ANDRADE MUÑOZ WILMA PIEDAD,100
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,AZUERO RODAS ELISEO ALEXIS,108
AGUIÑAGA VALLEJO PAOLA MARCELA,CAMBALA MONTECE CARLOS ALBERTO,93
BONILLA SALCEDO VIVIANA,CADENA VÉLEZ KARLA GABRIELA,112
AGUIÑAGA VALLEJO PAOLA MARCELA,VELASTEGUI NARANJO OLGUER FABRICIO,108
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,PACHALA POMA LUIS ALBERTO,109
MENDOZA ARÉVALO DANIEL ISAAC,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,110
BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,PALACIOS MUÑOZ JUAN SEBASTIÁN,117
CALLE VERZOZI HERMUY,CARRIÓN CEVALLOS MARÍA JOSÉ,106
BONILLA SALCEDO VIVIANA,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,100
